REGN,FILLER,URB,HHCN,REL,SEX,AGE,TLEFT,MDTLEFT,YDTLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,INDWORK,OCCUP,NOMONTH,RET,MDTRET,YDTRET,MDTEXP,YDTEXP,CASHREM,CASHAMT,MODE,RETAPSEP,CASHHOME,KINDREM,KINDAMT,SWGT,P6M_IND
1,33,1,740,3,2,27,1,9,1998,1,4,743,1,82,60,1,913,48,2,,,9,2003,1,12000,4,2,,2,,170.055,1
1,33,1,742,3,2,30,1,5,2002,1,4,21,1,39,24,1,913,4,2,,,5,2004,1,10000,3,2,,2,,170.055,1
1,33,1,754,3,2,31,1,12,2001,1,6,522,1,89,24,1,741,10,2,,,12,2003,1,6000,1,2,,1,1000,170.0551,1
1,33,1,766,3,2,28,1,1,2001,1,7,313,1,81,24,1,313,20,2,,,1,2003,1,24000,1,2,,2,,232.0351,1
1,33,1,767,3,2,29,2,2,2002,1,7,21,1,46,24,1,913,45,2,,,2,2004,2,,,2,,2,,232.0351,1
1,33,1,767,3,2,27,1,2,2001,1,7,21,1,46,24,1,913,20,2,,,1,2003,2,,,2,,2,,232.0351,1
1,33,1,773,1,1,45,3,5,2002,2,5,23,1,81,24,1,721,60,2,,,5,2004,1,32000,4,2,,2,,170.055,1
1,33,1,774,1,2,32,1,3,2000,2,5,21,1,39,20,1,913,19,1,10,2001,,,2,,,2,,2,,170.055,2
1,33,1,793,3,2,25,1,5,2001,1,7,724,1,82,24,1,913,17,2,,,5,2003,1,18000,1,2,,2,,170.055,1
1,33,1,796,1,1,43,1,2,1999,2,7,611,1,39,7,1,921,7,1,9,1999,,,2,,,2,,2,,170.055,2
1,33,1,796,2,2,42,3,8,2002,2,7,21,1,39,24,1,913,60,2,,,7,2004,1,26000,1,1,50000,1,24500,170.055,1
1,33,2,869,1,1,30,2,9,2000,2,4,642,1,81,27,1,724,48,2,,,12,2002,1,30500,4,2,,2,,477.0319,1
1,33,2,870,3,2,18,1,9,2002,1,6,23,1,96,8,1,512,1,2,,,5,2003,2,,,2,,2,,477.0319,1
1,33,2,871,2,2,38,1,10,2000,2,7,421,1,39,12,1,913,12,1,10,2001,,,2,,,2,,2,,477.0319,2
1,33,1,639,3,2,39,1,11,1998,1,4,21,1,78,40,1,913,40,1,3,2002,,,2,,,2,,2,,170.055,2
1,33,1,644,3,2,41,2,11,1999,2,4,21,1,39,36,1,913,56,2,,,11,2002,1,72000,1,2,,1,6500,170.055,1
1,33,1,644,3,2,39,3,1,2001,2,4,21,1,39,47,1,913,54,2,,,12,2004,1,58000,1,2,,1,3500,170.055,1
1,33,1,647,3,1,27,2,2,2001,2,4,931,1,69,24,1,712,44,2,,,2,2003,1,38000,4,2,,1,1500,170.055,1
1,33,1,647,4,2,27,1,1,2001,2,4,931,1,69,24,1,913,20,2,,,1,2003,2,,,2,,2,,170.055,1
1,33,2,951,3,2,33,1,5,2000,1,6,411,1,18,48,1,913,22,2,,,5,2004,1,8000,4,2,,2,,437.2793,1
1,33,2,997,3,2,30,2,4,2002,1,4,21,1,51,24,1,913,52,2,,,5,2004,1,37500,4,2,,2,,437.2791,1
1,33,2,1003,1,2,47,2,4,1999,3,6,21,1,82,14,1,913,38,1,6,2000,,,2,,,2,,2,,437.2791,2
1,33,1,806,6,1,25,1,9,1999,1,5,724,1,81,24,1,724,24,1,10,2001,,,2,,,2,,2,,147.5213,2
1,33,1,807,1,2,36,8,8,2002,2,6,21,1,10,10,1,421,60,2,,,6,2003,1,20000,4,2,,2,,147.5213,1
1,33,1,807,6,2,36,8,12,2001,2,5,21,1,10,8,1,743,58,1,8,2002,,,1,20000,4,1,30000,1,4500,147.5213,1
1,33,1,808,1,1,65,1,5,1999,2,4,522,4,1,2,2,,,1,7,1999,,,2,,,2,,2,,147.5213,2
1,33,1,808,2,2,72,1,5,1999,2,4,131,4,1,2,2,,,1,7,1999,,,2,,,2,,2,,147.5213,2
1,33,2,1011,2,2,48,2,4,2001,2,2,21,1,39,24,1,913,60,2,,,4,2003,1,60000,1,2,,2,,425.3333,1
1,33,2,1020,2,2,38,1,12,2000,2,7,21,1,39,24,1,913,21,2,,,12,2002,1,50000,1,2,,2,,425.3333,1
1,33,2,1030,1,1,43,3,5,2002,2,5,94,1,81,10,1,149,60,2,,,3,2003,1,95000,1,1,50000,1,17000,466.7732,1
1,33,2,1031,1,1,42,2,6,2001,2,5,94,1,81,24,1,832,60,2,,,5,2003,1,95000,1,2,,2,,466.7732,1
1,33,1,659,6,2,49,3,8,2002,4,7,21,1,103,24,1,913,31,2,,,8,2004,2,,,2,,2,,185.5146,1
1,33,1,669,3,2,36,2,4,2000,1,4,21,1,46,30,1,913,52,2,,,3,2003,1,20000,1,2,,2,,170.0551,1
1,33,1,669,3,1,33,2,7,2002,1,4,94,1,46,24,1,913,52,2,,,7,2004,1,7500,1,2,,2,,170.0551,1
1,33,1,676,1,1,47,1,11,2001,2,7,142,1,10,24,1,215,10,2,,,12,2003,1,120000,1,2,,2,,170.0551,1
1,33,1,678,1,1,43,2,10,1999,2,6,611,4,95,88,1,713,35,2,,,88,8888,1,70000,1,2,,2,,170.0551,1
1,33,2,903,3,1,43,1,6,2000,2,4,94,1,35,36,1,724,28,2,,,6,2003,1,45000,1,2,,2,,524.7352,1
1,33,2,903,4,2,43,1,6,2000,2,4,21,1,35,36,1,913,28,2,,,6,2003,2,,,2,,2,,524.7352,1
1,33,2,882,3,1,26,1,7,1999,1,6,921,1,82,8,1,643,8,1,3,2000,,,2,,,2,,2,,402.5756,2
1,33,2,924,1,1,35,2,11,2000,2,6,94,1,35,12,1,834,24,1,11,2001,,,2,,,2,,2,,437.2797,2
1,33,1,695,3,1,31,6,3,2002,2,7,94,1,63,8,1,413,35,1,3,2002,,,1,20000,1,2,,2,,185.5146,2
1,55,2,1589,3,1,52,2,1,2002,1,7,223,1,51,24,1,223,32,2,,,12,2003,1,18000,1,2,,2,,1127.4467,1
1,55,2,1592,3,2,33,1,3,2002,2,4,921,1,46,24,1,913,6,2,,,3,2004,1,26000,3,2,,2,,1127.4467,1
1,55,1,1061,3,2,26,4,12,2001,1,4,23,1,52,6,1,515,24,1,6,2002,,,1,20000,4,1,150000,1,30500,367.9322,1
1,55,1,1063,2,2,42,2,7,2002,2,6,911,1,46,24,1,513,48,2,,,7,2004,1,80000,1,2,,2,,367.9322,1
1,55,1,1464,3,2,25,1,6,1998,1,6,411,1,94,51,1,522,51,1,9,2002,,,2,,,1,50000,1,33000,367.9328,1
1,55,1,1464,3,2,27,2,2,2002,1,7,411,1,94,24,1,522,45,2,,,2,2004,1,28000,4,2,,2,,367.9328,1
1,55,2,1699,1,1,49,2,11,2000,2,4,712,1,81,36,1,712,36,2,,,11,2003,1,36000,1,2,,2,,889.9781,1
1,55,1,1469,2,2,48,1,7,1999,2,7,21,1,39,48,1,913,39,2,,,7,2003,1,30000,1,2,,2,,367.9317,1
1,55,1,1473,1,1,44,4,1,2001,2,7,23,1,67,23,1,825,56,2,,,12,2002,1,54000,1,2,,2,,367.9317,1
1,55,1,1093,1,1,47,1,2,2001,2,4,143,1,21,16,1,921,16,1,6,2002,,,1,30000,1,1,20000,1,5000,337.2713,1
1,55,1,1094,1,1,50,3,12,2000,2,6,94,1,81,12,1,144,47,1,1,2002,,,2,,,2,,2,,337.2713,2
1,55,1,1097,2,1,48,2,5,2002,2,6,94,1,94,24,1,721,55,2,,,5,2004,1,56000,4,2,,2,,337.2713,1
1,55,1,1099,3,1,26,1,11,1999,1,6,94,6,96,37,1,143,35,2,,,12,2002,2,,,2,,1,25500,337.2713,
1,55,1,1099,3,2,23,1,5,2002,1,6,94,6,96,88,1,731,5,2,,,88,8888,2,,,1,50000,1,14500,337.2713,
1,55,1,1103,2,2,26,1,3,2002,2,4,347,1,52,6,1,347,6,1,9,2002,,,1,48000,1,1,150000,1,105000,337.2713,1
1,55,1,1110,1,1,56,5,5,2002,2,3,94,1,81,12,1,724,60,2,,,5,2003,1,48000,1,2,,2,,337.271,1
1,55,1,1118,2,2,46,5,2,2001,2,4,21,1,81,24,1,913,55,2,,,2,2003,1,21000,4,2,,2,,337.2718,1
1,55,1,1118,3,2,22,1,12,2001,1,4,825,1,81,24,1,913,10,2,,,12,2003,1,12000,4,2,,2,,337.2718,1
1,55,2,1620,3,2,25,1,6,2002,1,7,23,1,82,24,1,513,4,2,,,6,2004,1,17000,4,2,,2,,889.976,1
1,55,2,1630,3,1,29,1,9,2001,1,4,612,1,52,12,1,834,12,1,9,2002,,,1,18000,1,1,50000,2,,889.9761,1
1,55,1,1080,1,1,47,1,6,2001,2,4,712,1,81,24,1,712,16,2,,,6,2003,1,15000,1,2,,2,,337.271,1
1,55,1,1217,2,2,41,1,6,2001,2,7,21,1,46,24,1,913,16,2,,,6,2003,1,42000,4,2,,2,,337.2709,1
