RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17M_DTRET,RQ17Y_DTRET,RQ18M_DTEXP,RQ18Y_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ22_RET6MOS,RQ23_CASHHOME,RQ24_INKIND,RQ25_KINDAMT,RSWGT,RP6M_IND
01,0083,002,00371,02,03,2,28,01,01,2007,4,61,021,1,222,24,1,913,08,2,,,01,2009,2,,,2,,2,,000484.5086,1
01,0084,002,00371,03,03,2,26,02,07,2007,1,61,092,1,234,36,1,522,39,2,,,07,2010,2,,,1,0050000,1,0005000,000484.5086,1
01,0085,004,00389,02,02,2,42,01,12,2004,2,05,323,1,400,37,1,913,33,2,,,03,2008,1,0060000,5,2,,2,,000425.2431,1
01,0086,004,00389,01,01,1,35,02,09,2006,2,05,522,1,234,15,1,915,36,2,,,12,2007,1,0059000,1,2,,2,,000424.6535,1
01,0086,004,00389,02,02,2,35,02,05,2007,2,05,522,1,234,88,1,512,59,2,,,88,8888,2,,,1,0050000,1,0010000,000425.2431,1
01,0087,001,00399,01,01,1,55,01,06,2004,2,04,743,1,233,41,1,712,39,2,,,11,2007,1,0090000,4,2,,1,0030000,000367.6961,1
01,0088,001,00399,02,02,2,52,02,12,2006,2,04,921,1,400,15,1,513,48,2,,,03,2008,1,0089000,1,2,,2,,000366.5798,1
01,0089,001,00399,02,02,2,38,02,04,2005,2,04,921,1,222,24,1,913,46,1,04,2007,,,2,,,1,0010000,2,,000403.4628,1
01,0090,001,00399,02,02,2,32,02,04,2004,2,63,021,1,211,16,1,913,48,1,08,2005,,,2,,,2,,2,,000482.6775,2
01,0091,004,00422,02,02,2,38,01,07,2007,2,65,021,1,222,24,1,913,02,2,,,07,2009,1,0019000,1,2,,2,,000403.4628,1
