REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,DTLEFTMONTH,DTLEFTYEAR,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,RET,DTRETMON,DTRETYR,WORK1,OCUP1,DTEXPMON,DTEXPYR,WORK2,OCUP2,NOMONTH,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
13,74,1,1713,2,2,36,3,8,94,2,4,834,1,39,24,2,,,,,4,96,1,541,15,1,38500,1,,2,,0.3745
13,74,1,1672,3,1,21,1,10,94,1,4,Z10,4,47,88,2,,,,,88,88,1,541,12,1,5000,1,,1,6750,0.3745
13,74,1,1372,2,2,42,1,10,92,2,3,999,6,96,88,1,10,94,2,,,,,,,2,,,,2,,0.3745
13,74,1,1372,3,2,13,1,10,92,1,3,Z30,5,96,88,1,10,94,2,,,,,,,2,,,,2,,0.3674
13,74,1,1372,2,1,67,1,10,92,2,6,Z90,4,96,88,1,10,94,2,,,,,,,2,,,,2,,0.3745
13,74,1,1373,3,2,37,1,1,95,1,1,Z20,6,96,88,2,,,,,88,88,2,,,2,,,,2,,0.3745
13,74,1,1373,2,2,29,1,5,95,2,5,67,4,96,88,2,,,,,88,88,2,,,2,,,,2,,0.3745
13,74,1,1441,1,1,26,2,8,93,1,6,300,8,43,0,1,8,93,2,,,,,,,2,,,,2,,0.3745
13,74,1,1442,2,2,31,1,7,92,2,6,Z20,4,96,1,1,8,92,2,,,,,,,2,,,,2,,0.3745
13,74,1,1442,1,1,49,1,1,92,2,6,452,4,96,1,1,8,92,2,,,,,,,2,,,,2,,0.3745
13,74,1,1452,1,2,39,3,5,95,1,6,111,4,39,0,1,5,95,2,,,,,,,2,,,,2,,0.3745
13,74,1,1745,6,1,40,4,6,95,2,6,999,1,94,4,2,,,,,11,95,1,700,4,1,100000,2,,2,,0.3745
13,74,1,1746,6,2,45,1,4,94,2,6,66,1,96,88,2,,,,,88,88,1,66,18,2,,,,2,,0.3745
13,74,1,1749,6,1,45,2,6,94,3,5,846,1,81,24,2,,,,,5,96,1,846,16,1,36000,1,,2,,0.3745
13,74,1,1752,2,1,42,4,5,95,2,2,846,1,81,12,2,,,,,4,96,1,846,5,1,20000,4,,1,1000,0.3745
13,74,1,1757,1,1,51,2,5,93,2,5,846,6,96,24,1,9,95,1,846,,,,,28,2,,,,2,,0.3745
13,74,1,1757,6,2,49,2,5,93,2,6,401,6,96,24,1,9,95,2,,,,,,,2,,,,1,1000,0.3745
13,74,1,1592,1,2,78,2,12,93,3,6,Z10,4,96,12,1,12,94,2,,,,,,,2,,,,2,,0.3745
13,74,1,1596,1,1,50,5,4,95,2,6,386,1,81,12,2,,,,,3,96,1,999,6,1,50000,4,,1,43200,0.3745
